prefecture,spot_name,category,duration_min,transfer_min,description
北海道,札幌時計台,歴史・文化,30,10,明治時代に建てられた北海道のシンボル的建造物
北海道,小樽運河,歴史・文化,60,20,ノスタルジックな雰囲気漂う明治期の石造倉庫群
北海道,旭山動物園,動物園・体験,180,60,行動展示で有名な日本最北の動物園
青森県,弘前城,歴史・文化,90,30,桜の名所として名高い東北有数の城郭
青森県,奥入瀬渓流,自然,180,45,十和田湖を源とする清流と原生林の渓谷美
青森県,三内丸山遺跡,歴史・文化,90,20,縄文時代の大規模集落跡で世界文化遺産
岩手県,中尊寺金色堂,歴史・文化,90,10,平泉の象徴・藤原氏の黄金文化を伝える世界遺産
岩手県,猊鼻渓,自然,120,40,砂鉄川を舟で下る鍾乳岩の渓谷美
岩手県,盛岡城跡,歴史・文化,60,20,石垣が美しい南部藩の城跡公園
宮城県,松島,自然・文化,120,30,日本三景の一つ・260余りの島が浮かぶ絶景の湾
宮城県,仙台城跡（青葉城）,歴史・文化,60,15,伊達政宗公の騎馬像が立つ城跡と市内一望の展望台
宮城県,瑞鳳殿,歴史・文化,60,10,伊達政宗の霊廟・極彩色の桃山文化の建築
秋田県,角館武家屋敷,歴史・文化,90,20,みちのくの小京都と呼ばれる武家屋敷群
秋田県,田沢湖,自然,90,30,日本一深い湖・透明度が高く神秘的な碧い湖
秋田県,乳頭温泉郷,温泉,180,60,ブナ林に囲まれた秘湯として人気の温泉地
山形県,山寺（立石寺）,歴史・文化,120,30,松尾芭蕉が訪れた断崖絶壁に建つ名刹
山形県,蔵王お釜,自然,90,40,神秘的なエメラルドグリーンの火口湖
山形県,銀山温泉,温泉,120,50,大正ロマンの風情漂う旅館が立ち並ぶ温泉街
福島県,会津若松城（鶴ヶ城）,歴史・文化,90,20,幕末の激戦を耐えた天守を持つ会津のシンボル
福島県,大内宿,歴史・文化,90,40,江戸時代の宿場町が完全保存された茅葺き集落
福島県,五色沼,自然,90,10,磐梯山麓に点在するコバルトブルーの神秘的な沼群
茨城県,国営ひたち海浜公園,公園・自然,180,30,ネモフィラとコキアで有名な広大な国営公園
茨城県,偕楽園,公園・文化,90,20,日本三名園の一つ・梅の名所として名高い庭園
茨城県,袋田の滝,自然,60,50,四段に落ちる日本三名瀑の一つ
栃木県,日光東照宮,歴史・文化,120,10,徳川家康を祀る絢爛豪華な建築群・世界遺産
栃木県,中禅寺湖・華厳滝,自然,120,20,日光連山を映す美しい湖と落差97mの名瀑
栃木県,那須高原,自然・レジャー,180,60,火山と牧場が広がる関東有数のリゾートエリア
群馬県,草津温泉,温泉,180,60,湯量・泉質とも日本屈指の名湯・湯畑が名所
群馬県,富岡製糸場,歴史・文化,90,40,日本初の近代的製糸工場・世界文化遺産
群馬県,伊香保温泉,温泉,120,30,石段街が有名な関東近郊の人気温泉地
埼玉県,川越（小江戸）,歴史・文化,120,30,江戸時代の蔵造り建築が残る小江戸の街並み
埼玉県,長瀞,自然,120,20,荒川の清流と岩畳が広がるライン下りの名所
埼玉県,秩父神社,歴史・文化,60,15,秩父三社の一つ・豪華な彫刻装飾が見どころ
